Cell_1_Traffic,Cell_2_Traffic,Cell_3_Traffic,Cell_4_Traffic,Cell_5_Traffic,Time_Bucket,Best_Action,Action_Binary
2,1,2,1,2,2,12,01100
2,1,2,1,2,3,19,10011
2,1,2,1,2,4,4,00100
2,1,2,2,1,2,2,00010
2,1,2,2,1,3,27,11011
2,1,2,2,1,4,27,11011
2,1,2,2,2,2,21,10101
2,1,2,2,2,3,26,11010
2,1,2,2,2,4,25,11001
2,2,1,1,1,2,30,11110
2,2,1,1,1,3,6,00110
2,2,1,1,1,4,22,10110
2,2,1,1,2,2,22,10110
2,2,1,1,2,3,31,11111
2,2,1,1,2,4,26,11010
2,2,1,2,1,2,18,10010
2,2,1,2,1,3,6,00110
2,2,1,2,1,4,4,00100
2,2,1,2,2,2,29,11101
2,2,1,2,2,3,26,11010
2,2,1,2,2,4,20,10100
2,2,2,1,1,2,7,00111
2,2,2,1,1,3,1,00001
2,2,2,1,1,4,12,01100
2,2,2,1,2,2,17,10001
2,2,2,1,2,3,30,11110
2,2,2,1,2,4,14,01110
2,2,2,2,1,2,10,01010
2,2,2,2,1,3,20,10100
2,2,2,2,1,4,10,01010
2,2,2,2,2,2,12,01100
2,2,2,2,2,3,4,00100
2,2,2,2,2,4,16,10000
